,split:10step:10,split:20step:10,split:30step:10,split:40step:10,split:50step:10,split:60step:10,split:70step:10,split:80step:10,split:90step:10,split:20step:20,split:40step:20,split:60step:20,split:80step:20,split:30step:30,split:60step:30,split:90step:30,split:50step:50
0,2.2167100906372066,5.562870502471924,7.146401405334473,14.22393798828125,19.514135360717773,28.1716251373291,34.63462829589844,0.9932084083557127,67.31439971923828,4.468451499938965,4.4213972091674805,11.086729049682619,10.481176376342773,2.7745218276977544,-1.8542275428771977,-20.37320518493652,2.7785148620605464
1,2.7003459930419917,5.9533982276916495,7.461104393005371,14.483150482177736,19.72783660888672,28.327293395996094,34.743003845214844,1.2949891090393064,67.31509399414064,4.8924455642700195,4.763469696044922,11.352743148803713,10.814894676208498,3.1591026782989498,-1.356644630432129,-19.66582679748535,3.181930541992188
2,3.203991889953613,6.360077381134034,7.788819313049318,14.753078460693361,19.950372695922848,28.489391326904293,34.85586166381836,1.609243869781494,67.31580352783203,5.33396816253662,5.119674682617187,11.6297550201416,11.162398338317873,3.5595653057098393,-0.8385009765624998,-18.938529968261722,3.601975440979004
3,4.211278915405273,7.1734280586242685,8.444258689880371,15.292934417724611,20.395454406738278,28.813600540161133,35.08157730102539,2.2377610206604004,67.31719970703125,6.217022895812987,5.832102298736572,12.183782577514647,11.857424736022947,4.360404014587402,0.19770932197570804,-17.511672973632812,4.441944122314453
4,6.091322898864746,8.691482543945312,9.66755771636963,16.300527572631832,21.22614860534668,29.41870307922364,35.502857208251946,3.410830020904542,67.3197021484375,7.865172386169432,7.161777973175047,13.217823028564451,13.15462398529053,5.854763984680176,2.1314334869384766,-14.952466964721683,6.00922679901123
5,6.544067382812501,9.057048797607424,9.962145805358887,16.54317283630371,21.426193237304684,29.56441688537598,35.604305267333984,3.6933197975158687,67.32028198242189,8.26206302642822,7.481985569000243,13.466827392578121,13.467014312744144,6.214555740356446,2.597036361694336,-14.354934692382812,6.386576652526855
6,7.8041281700134295,10.074485778808596,10.782027244567871,17.218481063842773,21.982944488525394,29.969968795776367,35.88665771484375,4.479528903961182,67.32186126708983,9.36668872833252,8.373167037963867,14.159862518310543,14.336429595947264,7.215696334838865,3.892688989639282,-12.726558685302736,7.436617851257326
7,8.889643669128418,10.950958251953123,11.488331794738771,17.800233840942386,22.462562561035153,30.319334030151374,36.1298942565918,5.156828403472901,67.32316589355469,10.318279266357422,9.140886306762697,14.756885528564451,15.085394859313968,8.077906608581545,5.008637428283692,-11.361494064331055,8.341030120849611
8,9.102381706237795,11.122727394104004,11.626746177673338,17.91425132751465,22.556558609008793,30.387804031372067,36.17756271362304,5.289564609527587,67.32342529296874,10.504766464233397,9.291340827941895,14.873889923095705,15.232176780700684,8.246855735778809,5.227312088012696,-11.09776306152344,8.51826763153076
9,9.411497116088867,11.372314453124998,11.827876091003416,18.079908370971683,22.693136215209964,30.48728752136231,36.246826171875,5.48242425918579,67.32378387451172,10.775742530822754,9.509955406188963,15.04389572143555,15.44545269012451,8.49231243133545,5.545030593872069,-10.716690063476564,8.775782585144043
10,9.624237060546877,11.544086456298826,11.966290473937988,18.193918228149414,22.78712844848633,30.555757522583,36.294490814208984,5.6151604652404785,67.32403564453124,10.962235450744627,9.660414695739748,15.160900115966795,15.592232704162596,8.661231040954592,5.763677597045899,-10.45586395263672,8.953000068664549
11,11.940819740295408,13.414503097534178,13.473540306091307,19.435386657714844,23.810646057128903,31.301313400268562,36.81355667114258,7.060518741607665,67.32664489746094,12.992936134338377,11.29873275756836,16.43494987487793,17.190547943115234,10.499733924865724,8.143762588500978,-7.685244083404541,10.882450103759764
12,12.793654441833498,14.103065490722654,14.028416633605955,19.89241409301758,24.187433242797848,31.575775146484375,37.004646301269524,7.5926003456115705,67.32756042480469,13.740509986877443,11.901852607727049,16.903968811035156,17.77894401550293,11.176092147827147,9.01950931549072,-6.694440364837647,11.592629432678224
13,14.928494453430174,15.826667785644533,15.417351722717285,21.036437988281246,25.130611419677738,32.262805938720696,37.482967376708984,8.924505233764648,67.32975769042967,15.611815452575684,13.411576271057125,18.078018188476562,19.25181007385254,12.867795944213865,11.210368156433107,-4.273180484771729,13.370159149169925
